case_id,orientation_orig,header_match,pixel_type,dim_x,dim_y,dim_z,dx,dy,dz,fov_x_mm,fov_y_mm,fov_z_mm,hu_min,hu_max,hu_p001,hu_p01,hu_p50,hu_p99,hu_p999,frac_below_air,bone_hu_p01,bone_hu_p05,bone_hu_p25,bone_hu_p50,bone_hu_p75,bone_hu_p95,bone_hu_p99,bone_frac_below_mip_thr,bone_frac_below_window,bone_frac_above_window,bone_volume_cm3,metal_cm3,metal_in_bone_cm3,vox_above_2500_cm3,above_mip_thr_outside_labels_cm3,metal_to_bone_mm,crop_side_px,crop_side_mm,px_mm_no_crop_256,px_mm_crop_256,bone_bbox_w_mm,bone_bbox_h_mm,bone_inside_crop,z_bone_first,z_bone_last,slices_with_bone,bone_z_extent_mm,n_frag_SA,main_is_lowest_SA,n_frag_LI,main_is_lowest_LI,n_frag_RI,main_is_lowest_RI,dist_SA_LI_mm,dist_SA_RI_mm,dist_LI_RI_mm,seconds,bonecrop_side_px,bonecrop_side_mm,px_mm_bonecrop_256,bone_inside_bonecrop,bonecrop_margin_min_mm,bonecrop_v,split
001,LPS,True,32-bit signed integer,512,512,401,0.78125,0.78125,0.800000011920929,400.0,400.0,320.8000047802925,-1023.0,2775.0,-1023.0,-1023.0,-856.0,508.0,1347.0,0.0,-204.0,-97.0,49.0,173.0,421.0,1124.0,1439.0,0.612326970055504,4.743924371512218e-05,0.023290789882195677,1039.5698397095475,0.0,0.0,0.03857421932480065,704.420420652932,,538,420.3125,1.5625,1.641845703125,296.09375,161.71875,True,71,361,291,232.80000346899033,1,True,2,True,1,True,1.5625,1.5625,3.125,83.56823873519897,491,383.59375,1.4984130859375,True,40.625,3,test
002,RAS,True,32-bit signed integer,413,276,337,0.82421875,0.82421875,0.800000011920929,340.40234375,227.484375,269.60000401735306,-1023.0,4711.0,-1014.0,-1006.0,-105.0,593.0,1173.0,0.0,-17.0,27.0,121.0,252.0,463.0,880.0,1108.0,0.49633513736758883,0.0,0.0004305164665251557,744.7957982931463,0.08478120243521335,0.0,0.1315195576238566,262.26630197936146,60.27455542395295,437,360.18359375,1.3296966552734375,1.4069671630859375,277.76171875,142.58984375,True,38,295,258,206.40000307559967,2,True,1,True,3,True,1.600000023841858,1.600000023841858,3.296875,53.40505933761597,449,370.07421875,1.4456024169921875,True,38.73828125,3,train
003,RAS,True,32-bit signed integer,512,381,285,0.759765625,0.759765625,1.0,389.0,289.470703125,285.0,-1023.0,16709.0,-1023.0,-1006.0,-115.0,627.0,1329.0,0.0,32.0,111.0,262.0,410.0,651.0,1049.0,1206.0,0.22783899751328685,0.0,0.0008669974157686869,757.6763645019531,1.929148796081543,0.0,2.1790953636169434,327.324945098877,47.16637694648395,514,390.51953125,1.51953125,1.5254669189453125,283.392578125,181.583984375,True,45,257,213,213.0,1,True,4,True,1,True,2.148941702199742,1.51953125,3.0390625,34.78572869300842,431,327.458984375,1.2791366577148438,True,14.435546875,3,test
004,RAS,True,32-bit signed integer,386,254,224,0.84375,0.84375,1.0,325.6875,214.3125,224.0,-1418.0,4961.0,-1017.0,-1005.0,-67.0,697.0,1294.0,9.766934087902225e-05,21.0,88.0,205.0,330.0,561.0,1010.0,1212.0,0.34551134452233184,0.0,0.0019352315561615371,598.8927216796875,0.138111328125,0.0,0.2228291015625,200.4543544921875,48.18859434555028,410,345.9375,1.272216796875,1.351318359375,270.0,160.3125,True,21,203,183,183.0,2,True,2,True,2,True,2.386485386504598,1.6875,3.375,26.00893473625183,364,307.125,1.19970703125,True,12.65625,3,val
005,LPS,True,32-bit signed integer,512,512,312,0.896484375,0.896484375,1.0,459.0,459.0,312.0,-1023.0,4695.0,-1021.0,-1012.0,-990.0,301.0,1176.0,0.0,40.0,101.0,226.0,336.0,538.0,983.0,1195.0,0.3065588836581203,0.0,0.0012853936518058655,642.7504850578308,0.04339894866943359,0.0,0.10206789779663086,384.54442152786254,104.15947351466194,534,478.72265625,1.79296875,1.8700103759765625,293.150390625,138.955078125,True,104,296,193,193.0,1,True,2,True,3,True,1.79296875,1.79296875,3.5859375,41.23667788505554,401,359.490234375,1.4042587280273438,True,28.6875,3,train
006,RAS,True,32-bit signed integer,426,279,283,0.8125,0.8125,1.0,346.125,226.6875,283.0,-1023.0,1649.0,-1018.0,-1008.0,-84.0,603.0,1362.0,0.0,37.0,108.0,243.0,375.0,601.0,996.0,1198.0,0.2640251204699039,0.0,0.0018688279965403515,555.65615625,0.0,0.0,0.0,251.07788671875,,450,365.625,1.35205078125,1.42822265625,249.4375,144.625,True,54,241,188,188.0,4,True,1,True,2,True,1.625,1.625,2.576941016011038,21.979851484298706,377,306.3125,1.196533203125,True,21.125,3,val
007,LPS,True,32-bit signed integer,512,512,317,0.8359375,0.8359375,1.0,428.0,428.0,317.0,-1023.0,19380.0,-1023.0,-1016.0,-955.0,351.0,1287.0,0.0,31.0,78.0,175.0,288.0,462.0,822.0,1066.0,0.4166626022360621,0.0,1.8758910482479177e-05,745.0235498046875,5.2786710205078125,0.0,6.045944091796875,460.00186877441405,29.72479975883984,524,438.03125,1.671875,1.7110595703125,272.515625,171.3671875,True,95,293,199,199.0,1,True,3,True,3,True,1.671875,1.671875,3.7384261498824607,47.99424481391907,366,305.953125,1.19512939453125,True,12.5390625,3,train
008,LPS,True,32-bit signed integer,512,512,335,0.7421875,0.7421875,0.800000011920929,380.0,380.0,268.0000039935112,-1024.0,1713.0,-1022.0,-1012.0,-942.0,407.0,1258.0,0.0,-44.0,18.0,139.0,303.0,578.0,1078.0,1290.5500000000466,0.428701362868485,0.0,0.008634733160075122,672.4885427357037,0.0,0.0,0.0,262.57726709629986,,532,394.84375,1.484375,1.5423583984375,268.671875,169.21875,True,43,302,260,208.00000309944153,1,True,3,True,1,True,1.484375,1.484375,2.96875,53.93706822395325,419,310.9765625,1.214752197265625,True,14.1015625,3,train
009,RAS,True,32-bit signed integer,415,245,303,0.8125,0.8125,0.8000000715255737,337.1875,199.0625,242.40002167224884,-1023.0,1613.0,-1016.0,-1008.0,-4.0,515.0,1246.0,0.0,-39.0,7.0,93.0,183.0,346.0,672.0,931.0,0.6196054704207133,0.0,1.718174047349195e-05,860.6521175732887,0.0,0.0,0.0,190.9758264495679,,439,356.6875,1.317138671875,1.393310546875,268.125,160.0625,True,27,286,260,208.00001859664917,1,True,1,True,3,True,1.6000001430511475,1.6000001430511475,3.25,24.08097243309021,390,316.875,1.23779296875,True,17.875,3,test
010,LPS,True,16-bit signed integer,512,512,350,0.9459999799728394,0.9459999799728394,0.7989501953125,484.35198974609375,484.35198974609375,279.632568359375,-2048.0,7573.0,-2048.0,-2048.0,-964.0,351.0,1050.0,0.3005973597935268,-15.0,48.0,185.0,343.0,585.0,1005.0,1252.0,0.3560893192413111,0.0,0.005803974379893876,692.3294256394513,0.24524269597122775,0.0,0.3682215405981991,451.7706506632892,38.184201613400454,474,448.40399050712585,1.8919999599456787,1.7515780879184604,297.04399371147156,169.33399641513824,True,16,290,275,219.7113037109375,1,True,3,True,1,True,1.597900390625,1.8919999599456787,4.10754684113247,36.165549516677856,343,324.4779931306839,1.267492160666734,True,13.243999719619751,3,test
